Date,Opponent,Location,Score,Result
"Sep 12, 2026",Peconic,Peconic · 5:00p,,
"Sep 13, 2026",Great Neck,The Rinx at Hauppauge · 10:00a,,
"Sep 19, 2026",Great Neck,Great Neck · 6:30p,,
"Sep 26, 2026",North Park,The Rinx at Hauppauge · 3:45p,,
"Oct 3, 2026",Peconic,The Rinx at Hauppauge · 4:40p,,
"Oct 17, 2026",Brewster,The Rinx at Hauppauge · 3:45p,,
"Oct 18, 2026",Sharks,The Rinx at Hauppauge · 11:40a,,
"Oct 24, 2026",Great Neck,Parkwood · 6:30p,,
"Nov 1, 2026",Beaver Dam,Beaver Dam · 11:00a,,
"Nov 7, 2026",Aviator,The Rinx at Hauppauge · 3:10p,,
"Nov 8, 2026",North Park,City Ice · 7:10p,,
"Nov 29, 2026",Brewster,Brewster · 11:00a,,
"Dec 13, 2026",White Plains,The Rinx at Hauppauge · 10:00a,,
"Jan 9, 2027",Sharks,Iceland · 2:00p,,
"Jan 10, 2027",Dix Hills Selects,Dix Hills · 2:50p,,
"Jan 23, 2027",Aviator,Aviator · 6:15p,,
"Jan 24, 2027",Great Neck,The Rinx at Hauppauge · 11:40a,,
"Jan 30, 2027",Aviator,The Rinx at Hauppauge · 2:05p,,
"Feb 6, 2027",Dix Hills Selects,The Rinx at Hauppauge · 4:40p,,
"Feb 13, 2027",White Plains,White Plains · 7:30p,,
